keyword,appearances,early_avg_rank,late_avg_rank,new_entry,rising_score
msm,5,,355,True,47.0
생식,1,,335,True,47.0
병어,6,,360.2,True,46.98
과일바구니,1,,336,True,46.9
대원제약콘드로이친킹,1,,338,True,46.7
코끼리마늘,1,,338,True,46.7
유통기한임박,3,477,432,False,46.5
요거트스타터,2,,346.5,True,46.35
제사상차림,8,388.7,346.5,False,46.17
닭갈비,4,442,398,False,46.0
총알오징어,4,,360.2,True,45.98
bnr17유산균,15,145.6,107.1,False,45.95
삼계탕,15,204,165.6,False,45.88
견과류답례품,4,454,410.3,False,45.67
샤오커오라,7,439.5,397.4,False,45.6
단호박,15,215.6,177.9,False,45.2
신비복숭아2kg,4,,368.8,True,45.12
구전죽염,7,428.6,387,False,45.1
육포깡,3,,364,True,45.1
두뇌엔닥터ps맥스,1,,354,True,45.1
편육,4,,370.5,True,44.95
광어지느러미,2,,362.5,True,44.75
옥수수,15,94.9,57.6,False,44.73
한치,7,420,378.8,False,44.7
천사푸드김치10kg,1,,358,True,44.7
고창수박,4,,374,True,44.6
먼치페퍼,1,,360,True,44.5
니프젠,14,390.8,353.4,False,44.46
식혜,2,,367,True,44.3
들기름,15,213.4,176.8,False,44.18
돼지껍데기,1,,365,True,44.0
쌀국수,13,406,368.7,False,43.79
연근,4,,382.2,True,43.77
설탕10kg,3,,377.7,True,43.73
아임비타,3,498,456,False,43.5
귤,3,383,341,False,43.5
코피코커피사탕,14,331.3,294.9,False,43.46
비쵸비,1,,372,True,43.3
템페,2,,377,True,43.3
감자가격10k,2,,379,True,43.1
강봉석명인콩범벅,1,,374,True,43.1
원두,13,382.3,345.9,False,42.98
콤부차,11,402.2,365,False,42.67
낙산균,1,,379,True,42.6
민어,1,,380,True,42.5
시오다래소스,1,,380,True,42.5
하니원멜론,7,,412.6,True,42.24
센시아,1,,383,True,42.2
맹동수박,2,,388.5,True,42.15
쏘팔메토,12,390,353.9,False,42.12
갈치,7,439,400.4,False,42.1
광어지느러미회,1,,386,True,41.9
개선은행잎추출물,1,,386,True,41.9
미국콜라,1,,386,True,41.9
오란다,3,,396.7,True,41.83
올리고당,2,,394,True,41.6
오디즙,4,,404.5,True,41.55
옳곡피스타치오,1,,393,True,41.2
트리플콘드로이친,1,,393,True,41.2
누룽지과자,11,413.2,377.6,False,41.07
뻥튀기,11,424.7,389.1,False,41.04
팽현숙물김치,1,,396,True,40.9
카스올제로,1,,396,True,40.9
효능올리브오일,1,,396,True,40.9
멀티프로바이오틱스,2,,402,True,40.8
감자10키로가격,2,,402,True,40.8
추어탕,1,,400,True,40.5
아사이베리분말,1,,401,True,40.4
시아렉스2.0,2,,406,True,40.4
갈비탕,15,259.9,227,False,40.36
이경제흑염소,2,,407,True,40.3
팔레오파우더,1,,402,True,40.3
창포잎,1,,402,True,40.3
카누,15,147,114.2,False,40.25
드시모네유산균,2,,407.5,True,40.25
리노이드ea-포뮬라,3,,412.7,True,40.23
철분제,4,,418,True,40.2
bts오레오,1,,404,True,40.1
우리콩두부면,3,,414,True,40.1
실큰두부,1,,404,True,40.1
